Kailash Cancer Hospital & Research Centre,"Muni Seva Ashram Office, 12 Blue Chip Complex, Opp. Parsi Agiary Ground, Rajshree Cinema Lane, Sayajigunj, Vadodara 390005"
Khimji Jamnadas SuperSpeciality Pvt Ltd.,"Regd Office - SRVY no. 18/P6-P7-1 Plot No.1/4, Ganga Park op. K.J. Multispeciality Hospital, Near Zanzarda Chowkdi, Junagadh, Gujarat"
Kothari Onco -Surgical Hospital,"Sakar Complex, 1st Floor, Above SBI, Pranav Society, Nr. Krishnabaug, Maninagar, Ahmedabad, 380008"
Krishna Multispeciality Hospital and Trauma Care,"Unit of RadheKrishna Medicare Pvt. Ltd., Shradhha Complex, Near Dwarkesh Complex, Near Railway Crossing , Visnagar 384315, Gujarat"
"Krishna Shalby Mulitspecialty Hospital, Ahmedabad (A UNIT OF SHALBY LIMITED)","319- Green City, Ghuma. Via 30paI, Ahmedabad-380058_ Gujarat, India"
"Lions Cancer Detection Centre Trust, Surat","Post Box No. 20, Government Medical College Campus, Majura Gate Surat, 395001"
"M. S. Patel Cancer Centre (managed by Charutar Arogya Mandal, Shree Krishna Hospital)","Gokal Nagar, Karamsad 388 325, District Anand, Gujarat"
N H Narayana Multispeciality Hospital,"Nr. Chakudiya Mahadev, Rakhial Cross Road , Opp. Rakhial Police Station, Rakhial , Ahmedabad, Gujarat - 380023"
N M Virani Wockhardt Hospital,"Kalawad Road, Rajkot 360007, Gujarat"
"Parul Sevashram Hospital, Parul Institute of Medical Science and Research, Parul University.","Post Limda, Taluka Waghodia, District, Vadodara, Gujarat - 391761"
"Pramukh Cancer Hospital, Palampur","Block A1, Medipolis New Doctor House, Deesa Highway, Palanpur-Banaskantha, Gujarat, 385001"
Rajkot Cancer Society,"Smt Anilaben Kantilal Kothari Cancer Chiktsa Bhavan, 1, Trupti Nagar, Opp Nirmala Convent School, Rajkot 360007"
Ratandeep Cancer Centre and Multispeciality Hospital,"New City Light Road, Surat -395007"
Royal Plus Shashwat,"60 feet road, Chandan Park Main Rd, near Paradise Hall Road, Gopal Chock, Rajkot, Gujarat - 360005"
Samanvay Multispeciality Hospitals Pvt. Ltd.,"Near Koyalli Fatak, Shapur, Taluka - Vanthali, District - Junagadh, Gujarat 362205"
"Samast Patidar Aarogya Trust, Kiran Hospital, Multi Super Speciality Hospital & Research Center","Nr. Sumul Dairy, Surat, Gujrat-395 004"
Shaleen Healthcare Pvt. Ltd.,"2nd Floor, Shaleen Plaza, Near Shukan Mal, Cross Roads, Beside Mangaldeep Pafi Plot,Sola-Science City Road, Sola,Ahmedabad-380060."
"Shankus Hospital Pvt. Ltd., (Shankus Medicity), Mehsana.","Amipura Ahmedabad- Mehsana highway, Mehasana Gujarat 384435"
Shree Bhartimaiya Memorial Foundation (Bharat Cancer Hospital and Research Institute and Nirali Memorial Radiation Centre),"Manav Daya Trust Comples, Surat Bardoli Road, Saroli, Surat 395010, Gujarat"
Shubham Cancer Centre,"Near Sola Over Bridge, Hebatpur Road, opp. Zydus Hospital, Thaltej, Ahmedabad 380059"
Smt. Jayaben Mody Hospital,"624, 1, Ankleshwar - Valia Rd, GIDC, Ankleshwar GIDC, Kosamdi, Gujarat 393002"
Starlit Cancer Centre,"Kothia Hospital campus, Nikol, Ahmedabad, Gujarat 382350"
Surat Oncology Centre (Day Care Centre),"2'° Floor, Zenon , Opp. Unique Hospital, Near Kiran Motors, Next to Opera House, Off Ring Road, Khatodara, Surat - 395002"
Haryana,
Amrita Institute of Medical Science and Research Centre  - Faridabad,"Amrita Hospital, Mata Amritanandamayi Marg, Sector 88, Faridabad Haryana, 121002, India"
Asian Institute of Medical Sciences,"Badkal Flyover, Road, Sector 21A, Faridabad, Haryana 121001"
Bhanot Hospital,"SCO 188/18,New Friends Colony, Jharsa Road Gurgaon - 122001(Haryana)"
"Fortis Memorial Research Institute, Gurgaon","Sector-44, Gurgaon, Haryana 122002"
Koita Centre For Digital Health- Ashoka University,"PLOT: #2, Rajiv Gandhi Education City, P. O. Rai, Sonepat, Haryana - 131029"
LHDM & Dr Prem Hospital Pvt. Ltd,"Bishan Saroop Colony, Opp. Bus Stand, Panipat  , Haryana 132103"
Medanta Cancer Institute,"The Medicity, CH Baktawar Singh Road, Sector 38, Gurugram, Haryana 122001"
"Narayana Superspeciality Hospital, Gurugram","Plot 3201, Block-V, DLF Phase-III, Sector 24 Gurugram, Haryana 122001"
Pandit Bhagwat Dayal Sharma Post Graduate Institute of Medical Sciences,"Medical Road, Rohtak, Haryana 124 001"
Paras Cancer Centre,"Paras Hospitals,C-1 Sushant Lok, Phase -1 Sector-43, Gurgaon Haryana"
Rise to Survive Cancer,"B1-1104 Gurgaon 21 (G21) Avenue, Sector 83, Vatika India Next, Opposite MaitriKiran High School, Gurgaon, Haryana Pin: 122004"
Rotary Ambala Cancer and General Hospital,"Opp. Dussehra Ground, Mill Road, Ambala Cantt. - 133001"
Himachal Pradesh,
"Indira Gandhi Medical College, Shimla","Circular Road, Lakkar Bazar, Shimla, Himachal Pradesh 171001"
Jammu & Kashmir,
"Department of Radiation Oncology, Government Medical College, Srinagar","Govt Medical College Srinagar, Karan Nagar, Srinagar - 190010"
Hakim Sanaullah Specialist Hospital & Cancer Centre,"Hakim Sanaullah Specialist Hospital & Cancer Centre, Near Fruit Mandi, Mazbugh Road, Sopore, J&K - 193201"
"Regional Cancer Centre, Government Medical College","Bakshi Nagar, Jammu 180 001"
Sher - I - Kashmir Institute of Medical Sciences (SKIMS),"Soura, Srinagar, Jammu & Kashmir 190 011"
Jharkhand,
"All India Institute of Medical Sciences, Deoghar","AIIMS Deoghar Devipur, Jharkhand, India, PIN – 814152"
Asarfi Cancer Institute (Asarfi Hospital),"Asarfi Health Educity, Ranguni Road, Ranguni, Bhuli, Dhanbad 828117, Jharkhand"
HCG-Abur- Razzaque Ansari Cancer Institute,Irba Ranchi 835217
Meherbai Tata Memorial Hospital,"Institute of Oncology, Cancer Research & Treatment, Stocking Road, Jamshedpur - 831001, Jharkhand"
"Paras HEC Hospital (Unit of Paras Healthcare (Ranchi), Pvt. Ltd.)","Near JSCA Stadium, Opp. Prabhat Tara School, Sector-3, Dhurwa, Ranchi- 83004, Jharkhand."
"Ranchi Cancer Hospital & Research Centre(Tata Trusts),Ranchi,Jharkhand,","PLot no. 580, Sukurhutu Road, Kadma , Kanka , Ranchi 834006, Jharkhand"
Tata Main Hospital,"Road West, Northern Town , Jamshedpur 831001 ,Jharkhand (IND)"
Karnataka,
"Apollo Hospitals, Bangalore","#154/11, Opp IIM, Banherghatta Road, Bengaluru, 560 076"
"Aster International Institute of Oncology, Aster CMI Bangalore","No. 43/2, New Airport Road, NH 44, Sahakar Nagar, Hebbal Bengaluru, Karnataka, 560092"
Bangalore Hospice Trust - Karunashraya,"Banglaore Hospice Trust, Old Airport – Varthur Main Road, Kundalahalli Gate, Marathahalli, Bangalore – 56 0037, India"
Cytecare Hospitals Pvt Ltd,"Venkatala, Near Bagalur Cross , Yelahanka, Bengaluru, Karnataka Pin- 560064"
"Fortis Hospital Ltd, Bannerghatta Road, Bangalore","154/9, Opposite IIM-B, Bannerghatta Road, Bengaluru, Karnataka - 560076"
"HCG Cancer Centre, Kalaburagi","No.1-10/A, 1-10 Khuba Plot, Station Road, Gulbarga, Karnataka- 585 102"
"HCG NMR Cancer Centre, Hubli","HCG NMR Cancer Centre, Hubli Road, Near Revankar Motors, Deshpande Nagar, Hubli 580029"
Healthcare Global Enterprises Ltd.Specialty Centre,"#44-45/2, 2nd Cross, Rajaram Mohan Roy Road Extension, Off. Lalbaugh Double Road, Shanthinagar, Bengaluru, Karnataka 560027"
"Indian Cancer Society, Bangalore","268/1-4, ground Floor, 9 th ‘A’ Main Road, 2 nd Block, Jayanagar, Bengaluru , 560011"
Jawaharlal Nehru Medical College (KLE academy of Higher Education & Research),"Nehru Nagar, Belagavi 590010, Karnataka"
Kasturba Medical College and Hospital,"Madhav Nagar, Near Tiger Circle, Manipal, Karnataka 576104"
Kidwai Memorial Institute of Oncology,"Dr. M. H. Marigowda Road, Hombegowda Nagar, Bengaluru 560 030"
Mangalore Institute of Oncology Pvt. Ltd. (MIO),"Pumpwell, Mangaluru, 575002, Karnataka"
"Manipal Comprehensive Cancer Center, Bangalore","#98 HAL Road Bengaluru, 560017, Karnataka,"
Mazumdar Shaw Cancer Centre,"Narayana Health City, No. 258/A, Bommasandra Industrial Area, Anekal Taluk, Bengaluru 560 099, Karnataka"
"Public Health Research Institute of India (PHRII, Mysore)","No.4, I Block, Gaganachumbi Double Road, Kuvempunagar, Mysore - 570023, Karnataka, India"
Ramaiah Medical College and Hospitals,"M S Ramaiah Nagar, MSRIT post, Bangalore 560054"
SDM College of Medical Sciences & Hospital (Shri Dharmasthala Manjunatheshwara University),"Manjushree Nagar, Sattur, Dharwad, Karnataka – 580009"
Sparsh Hospital,"Off Mysore Road, RR Nagar, Bangalore 560098, India """
Sri Devraj Urs Academy of Higher Education and Research,"Post Box No. 62, Tamaka, Kolar, Karnataka"
Sri Shankara Cancer Hospital and Research Centre,"Shankara Math Premises, 1 st Cross, Shankarapuram, Basavanagudi, Bengaluru 560004"
"St. John's Oncology Centre, St. John's Medical College","Sarjapur Road, Bengaluru 560 034, Karnataka"
The Karnataka Cancer Therapy & Research Institute,"Padmashree R B Patil Cancer Hospital, Navanagar, Hubballi 580025, Karnataka State"
The Life of Science,"Flat No. 804, Petmarc Apartment, Kottara Cross, Opposite CFAL Institute, Bejai-Kapikad Road, Mangalore, Dakshina Kannada – 575003, Karnataka, India"
"Victoria Hospital, Bangalore Medical College & Research Institute (An Autonomous Institute of the Govt. of Karnataka)","Near CIty Market , Fort Road, Bengluru 560002"
Vydehi Cancer Center,"#82, Nallurahalli, Whitefield, Bangalore - 560 066"
Yen Onco Centre,"Yenepoya University, Deralakatte, Mangalore 575018"
Kerala,
"Amala Institute of Medical Sciences, Amala Cancer Hospital Society","Amala Cancer hospital Complex, Amalanagar, Thrisur, Kerala 680555"
Amrita Institute of Medical Sciences & Research Centre,"Ponekkara, P O. Kochi, Kerala 682041"
ASTER - MIMS,"Malabar Institute of Medical Sciences Ltd, Minr Bypass Road, Govindapuram P0, Calicut 673 016, Kerala, lndia"
"Aster Medicity, Aster DM Healthcare Pvt. Ltd.","Kuttisahib Road, Near Kothrud Bridge, South Chittoor, P. O. Cheranalloor, Kochi 682 027, Kerala"
Baby Memorial Hospital Cancer Centre,"Indira Gandhi Road, Kozhikode, Kerala. 673004"
Believers Church Medical College Hospital,"RB. 31, St. Thomas Nagar, Kuttapuzha 110., Thiruvalla - 689 103, Kerala"
Caritas Hospital and Institute of Health Sciences,"Thellakom, P.O. Kottayam - 686630, Kerala"
Cochin Cancer Research Centre,"ER.515/06, Ernakulam Government Medical College Compound, HMT Colony, North Kalamassery, Kochi, Kerala 683503"
"Department of Palliative care and Training Center, General Hospital, Kottayam","Kottayam-Kumily Rd, Kottayam, Kerala 686002"
Dr K M Cherian Institute of Medical Sciences,"Kallissery, P.O, Chengannur, Kerala, India - 689124"
"Government Medical College, Kozhikode","Kerala, India, Medical College PO. Pin: 673008"
Karuna Cancer Hospital,"Pallipadi, Malappuram. 676306"
KIMS Cancer Centre,"KIMS North, Anayara, P. O. Box 1,Thiruvanathpuram, 695029"
"Lisie Cancer Centre, Lisie Hospital Ernakulum","P.B. No. 3053, Kochi 682018, Kerala"
Malabar Cancer Centre,"Moozhikkara P.O, Thalassery, Kannur Dist., Kerala-670103,"
