MoleculeType,Identifier,Uniprot ID,Protein Name,Gene Name
Proteins,P16520,P16520,GNB3,GNB3
Proteins,P62873,P62873,GNB1,GNB1
Proteins,Q9UK08,Q9UK08,GNG8,GNG8
Proteins,O14610,O14610,GNGT2,GNGT2
Proteins,P63211,P63211,GNGT1,GNGT1
Proteins,O60262,O60262,GNG7,GNG7
Proteins,Q9P2W3,Q9P2W3,GNG13,GNG13
Proteins,P63215,P63215,GNG3,GNG3
Proteins,P50151,P50151,GNG10,GNG10
Proteins,P61952,P61952,GNG11,GNG11
Proteins,P50150,P50150,GNG4,GNG4
Proteins,P63218,P63218,GNG5,GNG5
Proteins,Q9UBI6,Q9UBI6,GNG12,GNG12
Proteins,P59768,P59768,GNG2,GNG2
Proteins,P19087,P19087,GNAT2,GNAT2
Proteins,P09471,P09471,GNAO1,GNAO1
Proteins,Q01970,Q01970,PLCB3,PLCB3
Proteins,Q9NQ66,Q9NQ66,PLCB1,PLCB1
Proteins,Q00722,Q00722,PLCB2,PLCB2
Proteins,P63098,P63098,PPP3R1,PPP3R1
Proteins,P16298,P16298,PPP3CB,PPP3CB
Proteins,Q08209,Q08209,PPP3CA,PPP3CA
Proteins,P0DP23,P0DP23,CALM1,CALM1
Proteins,O95644,O95644,NFATC1,NFATC1
Proteins,Q9UQM7,Q9UQM7,CAMK2A,CAMK2A
Proteins,O43318,O43318,MAP3K7,MAP3K7
Proteins,P17252,P17252,PRKCA,PRKCA
Proteins,Q13237,Q13237,PRKG2,PRKG2
Proteins,Q13976,Q13976,PRKG1,PRKG1
Proteins,Q14643,Q14643,ITPR1,ITPR1
Proteins,Q14573,Q14573,ITPR3,ITPR3
Proteins,Q14571,Q14571,ITPR2,ITPR2
Proteins,P35913,P35913,PDE6B,PDE6B
Proteins,P16499,P16499,PDE6A,PDE6A
Proteins,P18545,P18545,PDE6G,PDE6G
Proteins,P01116-2,P01116-2,KRAS,KRAS
Proteins,Q9NPB6,Q9NPB6,PARD6A,PARD6A
Proteins,O14641,O14641,DVL2,DVL2
Proteins,Q9HAU4,Q9HAU4,SMURF2,SMURF2
Proteins,Q9HCE7,Q9HCE7,SMURF1,SMURF1
Proteins,Q96MT3,Q96MT3,PRICKLE1,PRICKLE1
Proteins,Q9UP38,Q9UP38,FZD1,FZD1
Proteins,O75084,O75084,FZD7,FZD7
Proteins,Q9H461,Q9H461,FZD8,FZD8
Proteins,Q9ULK5,Q9ULK5,VANGL2,VANGL2
Proteins,Q14160,Q14160,SCRIB,SCRIB
Proteins,Q9Y4D1,Q9Y4D1,DAAM1,DAAM1
Proteins,O14640,O14640,DVL1,DVL1
Proteins,Q92997,Q92997,DVL3,DVL3
Proteins,P61586,P61586,RHOA,RHOA
Proteins,P34925,P34925,RYK,RYK
Proteins,Q01973,Q01973,ROR1,ROR1
Proteins,Q01974,Q01974,ROR2,ROR2
Proteins,Q96CW1,Q96CW1,AP2M1,AP2M1
Proteins,O94973,O94973,AP2A2,AP2A2
Proteins,O95782,O95782,AP2A1,AP2A1
Proteins,P63010,P63010,AP2B1,AP2B1
Proteins,P53680,P53680,AP2S1,AP2S1
Proteins,P09497,P09497,CLTB,CLTB
Proteins,P09496,P09496,CLTA,CLTA
Proteins,Q00610,Q00610,CLTC,CLTC
Proteins,P60763,P60763,RAC3,RAC3
Proteins,P15153,P15153,RAC2,RAC2
Proteins,P63000,P63000,RAC1,RAC1
Proteins,P32121,P32121,ARRB2,ARRB2
Proteins,P05129,P05129,PRKCG,PRKCG
Proteins,P05771,P05771,PRKCB,PRKCB
Proteins,P07737,P07737,PFN1,PFN1
Proteins,Q70CQ2,Q70CQ2,USP34,USP34
Proteins,Q9Y2T1,Q9Y2T1,AXIN2,AXIN2
Proteins,Q9NTX7,Q9NTX7,RNF146,RNF146
Proteins,O95271,O95271,TNKS,TNKS
Proteins,Q9H2K2,Q9H2K2,TNKS2,TNKS2
Proteins,P68400,P68400,CSNK2A1,CSNK2A1
