Uniprot ID,Protein Name,URL,,,,,,,,,,,,,,,,,,
P25786,PSMA1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMA1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P25787,PSMA2,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMA2%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P25788,PSMA3,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMA3%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P25789,PSMA4,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMA4%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P28066,PSMA5,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMA5%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P60900,PSMA6,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMA6%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P28074,PSMB5,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMB5%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P20618,PSMB1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMB1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P28072,PSMB6,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMB6%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q99436,PSMB7,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMB7%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P49721,PSMB2,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMB2%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P49720,PSMB3,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMB3%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
P28070,PSMB4,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22PSMB4%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q92837,FRAT1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22FRAT1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
O75474,FRAT2,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22FRAT2%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q9UBE8,NLK,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22NLK%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q9UL18,AGO1,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22AGO1%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q9HCK5,AGO4,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22AGO4%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q9H9G7,AGO3,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22AGO3%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q8NDV7,TNRC6A,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22TNRC6A%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q9UPQ9,TNRC6B,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22TNRC6B%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q9HCJ0,TNRC6C,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22TNRC6C%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q9HCE1,MOV10,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22MOV10%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q9UKV8,AGO2,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22AGO2%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
Q9ULV1,FZD4,https://www.ebi.ac.uk/gxa/search?geneQuery=%5B%7B%22value%22%3A%22FZD4%22%7D%5D&conditionQuery=%5B%7B%22value%22%3A%22cancer%22%7D%5D&species=homo%20sapiens,,,,,,,,,,,,,,,,,,
