PMID,Title,Authors,Journal,Year,DOI,PMC_ID,Free_PMC,PDF_Downloaded,PDF_Filename
17059341,Evaluating polymorphic status of glutathione-S-transferase genes in blood and tissue samples of prostate cancer patients.,Mittal RD; Mishra DK; Mandhani A,Asian Pacific journal of cancer prevention : APJCP,2006,,,No,No,
16998793,Differential expression and activation of NF-kappaB family proteins during oral carcinogenesis: Role of high risk human papillomavirus infection.,Mishra A; Bharti AC; Varghese P; Saluja D; Das BC,International journal of cancer,2006,,,No,No,
16621243,"Structural, functional and therapeutic biology of survivin.",Sah NK; Khan Z; Khan GJ; Bisen PS,Cancer letters,2006,,,No,No,
16541432,Down-regulation of locus-specific human lymphocyte antigen class I expression in Epstein-Barr virus-associated gastric cancer: implication for viral-induced immune evasion.,Dutta N; Gupta A; Mazumder DN; Banerjee S,Cancer,2006,,,No,No,
16395704,Clinical significance of mannose-binding lectin-associated serine protease-2 expression in esophageal squamous cell carcinoma.,Verma A; Matta A; Shukla NK; Deo SV; Gupta SD; Ralhan R,International journal of cancer,2006,,,No,No,
16121806,Peripheral genotype-phenotype correlations in Asian Indians with type 2 diabetes mellitus.,Rao PV; Lu X; Pattee P; Turner M; Nandgaonkar S; Paturi BT; Roberts CT; Nagalla SR,The Journal of the Association of Physicians of India,2005,,,No,No,
16088230,TC21/R-Ras2 upregulation in esophageal tumorigenesis: potential diagnostic implications.,Sharma R; Sud N; Chattopadhyay TK; Ralhan R,Oncology,2005,,,No,No,
15916848,Differential expression of G-protein coupled receptor 56 in human esophageal squamous cell carcinoma.,Sud N; Sharma R; Ray R; Chattopadhyay TK; Ralhan R,Cancer letters,2006,,,No,No,
23923566,Variant of mitochondrial ribosomal protein s28 (mrps28) gene is differentially expressed in response to radiation in a cervical carcinoma derived cell line.,Gopal G; Rajkumar T,Indian journal of biochemistry & biophysics,2005,,,No,No,
15255287,Differential expression of retinoic acid receptors in normal and malignant esophageal tissues.,Kumar A; Kaur J; Chattopadhyay TK; Mathur M; Ralhan R,Journal of experimental therapeutics & oncology,2004,,,No,No,
15202940,Molecular signatures of cell cycle transcripts in the pathogenesis of Glial tumors.,Pillai AA; Bhattacharya RN; Radhakrishnan VV; Banerjee M,Journal of carcinogenesis,2004,,PMC437637,Yes,Yes,PMID_15202940_PMC437637.pdf
15197782,Differential expression of 9-O-acetylated sialoglycoconjugates on leukemic blasts: a potential tool for long-term monitoring of children with acute lymphoblastic leukemia.,Pal S; Ghosh S; Bandyopadhyay S; Mandal C; Bandhyopadhyay S; Kumar Bhattacharya D; Mandal C,International journal of cancer,2004,,,No,No,
14675392,Two novel somatic mutations in the human interleukin 6 promoter region in a patient with sporadic breast cancer.,Saha A; Bairwa NK; Ranjan A; Gupta V; Bamezai R,European journal of immunogenetics : official journal of the British Society for Histocompatibility and Immunogenetics,2003,,,No,No,
14613585,Expression of biomarkers modulating prostate cancer angiogenesis: differential expression of annexin II in prostate carcinomas from India and USA.,Banerjee AG; Liu J; Yuan Y; Gopalakrishnan VK; Johansson SL; Dinda AK; Gupta NP; Trevino L; Vishwanatha JK,Molecular cancer,2003,,PMC270077,Yes,Yes,PMID_14613585_PMC270077.pdf
12706106,Transcriptional gene expression profile of human esophageal squamous cell carcinoma.,Sharma R; Samantaray S; Shukla NK; Ralhan R,Genomics,2003,,,No,No,
10585574,Induction of apoptosis by abrogation of HSP70 expression in human oral cancer cells.,Kaur J; Kaur J; Ralhan R,International journal of cancer,2000,,,No,No,
9988237,P-glycoprotein is positively correlated with p53 in human oral pre-malignant and malignant lesions and is associated with poor prognosis.,Ralhan R; Swain RK; Agarwal S; Kaur J; Nath N; Sarkar G; Mathur M; Shukla NK,International journal of cancer,1999,,,No,No,
9930361,Expression of 70-kDa heat shock protein in oral lesions: marker of biological stress or pathogenicity.,Kaur J; Srivastava A; Ralhan R,Oral oncology,1998,,,No,No,
9750023,Tumour-proliferative fraction and growth factor expression as markers of tumour response to radiotherapy in cancer of the uterine cervix.,Pillai MR; Jayaprakash PG; Nair MK,Journal of cancer research and clinical oncology,1998,,PMC12200153,Yes,Yes,PMID_9750023_PMC12200153.pdf
9717461,Oncogene expression as detected by immunocytochemical staining in hormonally induced ovarian cell lines.,Luthra K; Chapekar TN,Indian journal of experimental biology,1998,,,No,No,
9311585,Evaluation of P-glycoprotein expression in human oral oncogenesis: correlation with clinicopathological features.,Ralhan R; Narayan M; Salotra P; Shukla NK; Chauhan SS,International journal of cancer,1997,,,No,No,
9269904,Cytokeratins and the evaluation of tumor differentiation in squamous lesions of the uterine cervix.,Nair SA; Nair MB; Jayaprakash PG; Rajalekshmy TN; Nair MK; Pillai MR,General & diagnostic pathology,1997,,,No,No,
9036881,"Differential expression of multidrug resistance gene product, P-glycoprotein, in normal, dysplastic and malignant oral mucosa in India.",Jain V; Das SN; Luthra K; Shukla NK; Ralhan R,International journal of cancer,1997,,,No,No,
9020911,Differential expression of c-jun and c-myc in N-nitroso diethylamine-induced hepatic oncogenesis in AKR mice.,Giri RK; Das BR,Cancer letters,1996,,,No,No,
8690755,Differential expression of jackfruit-lectin-specific glycoconjugates in metastatic adenocarcinoma and reactive mesothelial cells-a diagnostic aid in effusion cytology.,Sujathan K; Kannan S; Remani P; Pillai KR; Chandralekha B; Amma NS; Nair MK,Journal of cancer research and clinical oncology,1996,,PMC12200284,Yes,Yes,PMID_8690755_PMC12200284.pdf
8847132,Differential expression of 70-kDa heat shock-protein in human oral tumorigenesis.,Kaur J; Ralhan R,International journal of cancer,1995,,,No,No,
9815915,"Differential expression of Mr 70,000 heat shock protein in normal, premalignant, and malignant human uterine cervix.",Ralhan R; Kaur J,Clinical cancer research : an official journal of the American Association for Cancer Research,1995,,,No,No,
7528604,Differential expression of cytokeratin proteins during tumour progression in oral mucosa.,Kannan S; Balaram P; Chandran GJ; Pillai MR; Mathew B; Nalinakumari KR; Nair MK,Epithelial cell biology,1994,,,No,No,
8435208,Differential expression of thymidine kinase gene in two subpopulations of a rat tumour correlates with their tumorigenic and cell division potential.,Pande G; Sudhakar C,"European journal of cancer (Oxford, England : 1990)",1993,,,No,No,
3275547,Differential expression of fibronectin in a rat histiocytoma: possible role of fibronectin in tumor cell adhesion.,Pande G; Khar A,Experimental cell research,1988,,,No,No,
