Gene	Species	Experiment accession	Comparison	log_2 fold change	Adjusted p-value	t-statistic
ENSG00000134982	homo sapiens	E-MTAB-5102	'154; 1 micromolar' vs 'DMSO'	1	0.00000893803844205156	
ENSG00000134982	homo sapiens	E-GEOD-48433	'CCRF-CEM; acute lymphoblastic (T-ALL) leukemia; P01' vs 'CCRF-CEM; acute lymphoblastic (T-ALL) leukemia; P0'	1	0.00000911837045207297	
ENSG00000134982	homo sapiens	E-MTAB-3645	'Hypoxia' vs 'Normoxia' in 'A2780cis; None'	1	0.000191613799202907	
ENSG00000134982	homo sapiens	E-GEOD-48433	'786-0; renal adenocarcinoma; P10' vs '786-0; renal adenocarcinoma; P0'	1	0.000233543457818121	
ENSG00000134982	homo sapiens	E-GEOD-40595	'ovarian cancer' vs 'normal' in 'epithelial cell'	-1	0.000658038264008548	
ENSG00000134982	homo sapiens	E-GEOD-35493	'primitive neuroectodermal tumor' vs 'normal'	-1	0.00143232121678372	
ENSG00000134982	homo sapiens	E-GEOD-50161	'medulloblastoma' vs 'normal'	-1	0.00191709577832714	
ENSG00000134982	homo sapiens	E-GEOD-50161	'Astrocytoma, Pilocytic' vs 'normal'	-1	0.00289869593939351	
ENSG00000134982	homo sapiens	E-GEOD-66354	'pilocytic astrocytoma' vs 'normal'	-1	0.00292863663019978	
ENSG00000134982	homo sapiens	E-GEOD-12854	'PKA RI-alpha over expression' vs 'wild type'	-1	0.00465373981960849	
ENSG00000134982	homo sapiens	E-GEOD-50803	'ALK inhibitor CEP-14083' vs 'control'	1	0.0294912920065852	
ENSG00000134982	homo sapiens	E-GEOD-55541	'CA-PDGFRA + sh-p53 + H3.3-K27M' vs 'mock'	-1	0.0298292773404874	
ENSG00000134982	homo sapiens	E-GEOD-22772	'expression of a dominant negative form of MAML1' vs 'control'	1	0.032079720098205	
