Type_of_Cancer_or_Disease
Localized Non-Small Cell Lung Cancer (NSCLC)
localized prostate cancer
Localized prostate cancer (PCa)
Locally Advanced Rectal Cancer (LARC)
Locally-Advanced Rectal Cancer (LARC)
Lung cancer
Lung cancer (LC)
Lung cancer (NSCLC and SCLC)
Lung Cancer (NSCLC)
lung cancer with activating EGFR mutations
Lymphomas with Febrile Neutropenia
Malignant Melanoma
Malignant mesothelioma
malignant mesothelioma (MM)
Malignant mesothelioma (MM).
Malignant Pleural Mesothelioma (MPM)
"Malignant solid tumors, especially non-small cell lung cancer (NSCLC)"
Melanoma
"melanoma, renal, and non-small cell lung cancer"
Merkel cell carcinoma (MCC)
Metastatic breast cancer
Metastatic breast cancer (MBC)
Metastatic breast cancer (MBC).
"Metastatic breast, melanoma, colon, renal cancers, GIST, HCC."
Metastatic Castration-Resistant Prostate Cancer (mCRPC)
Metastatic castration-resistant prostate cancer (mCRPC).
Metastatic clear cell renal cell carcinoma (mccRCC)
Metastatic clear-cell renal cell carcinoma (ccRCC).
Metastatic colorectal cancer
Metastatic Colorectal cancer (CRC)
metastatic colorectal cancer (mCRC)
metastatic cutaneous melanoma
metastatic gastrointestinal (GI) cancers
metastatic HER2+ inflammatory breast cancer (IBC)
Metastatic HR+ breast cancer
Metastatic Melanoma
Metastatic non-small cell lung cancer (NSCLC)
Metastatic Renal Cell Carcinoma
Metastatic renal cell carcinoma (mRCC).
metastatic renal cell carcinoma (RCC)
Metastatic triple negative breast cancer (TNBC).
"Multi-cancer (Lung, esophageal, gastric, liver, colorectal)"
"Multi-cancer cohort (Lung, Breast, HCC, etc.)"
Multiple myeloma
Multiple myeloma (MM)
"Multiple myeloma (MM) and its precursor, monoclonal gammopathy of undetermined significance (MGUS)"
Multiple myeloma (MM).
Multiple solid tumor types
Nasopharyngeal carcinoma (NPC)
Nasopharyngeal carcinoma (NPC).
neuroblastoma
neuroblastoma (NB)
Neuroendocrine Tumors (siNET and pNET)
Non-Hodgkin Lymphoma (NHL)
Nonmetastatic Renal Cell Carcinoma (inferred)
Non-Muscle-Invasive Bladder Cancer (NMIBC)
Non-muscle-invasive bladder cancer (NMIBC).
Non-small cell lung cancer
Nonsmall cell lung cancer (NSCLC)
Non-small cell lung cancer (NSCLC)
Non-small cell lung cancer (NSCLC).
Non-small cell lung carcinoma (NSCLC)
Non-small-cell lung cancer (NSCLC)
"NSCLC, colorectal cancer, or ovarian cancer"
"NSCLC, renal cell carcinoma (RCC), or malignant melanoma"
Operable luminal breast cancer
Oral cancer/HNSCC
oral epithelial dysplasia (OED)
oral squamous cell carcinoma (OSCC)
Oral squamous cell carcinoma (OSCC).
Oral Submucous Fibrosis (OSMF)
Oropharyngeal squamous cell carcinoma (OPCSCC)
Osteosarcoma.
Ovarian cancer
ovarian cancer (OC)
Ovarian cancer.
ovarian neoplasm
"Ovarian, fallopian tube and peritoneal cancer"
"Pan-cancer (NSCLC, melanoma, etc.)"
Pancreatic adenocarcinoma
pancreatic cancer
Pancreatic cancer (PC)
Pancreatic Cancer (PDAC)
Pancreatic cancer.
Pancreatic ductal adenocarcinoma (PDAC)
Pancreatic ductal adenocarcinoma (PDAC).
Papillary thyroid carcinoma (PTC)
Pediatric classical Hodgkin’s lymphoma (cHL)
platinum-sensitive relapsed ovarian cancer (PSROC)
Pleural mesothelioma (PM) and thymic epithelial tumors (TET)
Postmenopausal breast and colorectal cancer (nested study populations)
Postmenopausal breast cancer
Primary breast cancer
primary central nervous system lymphoma
Primary Lung Cancer
Prostate adenocarcinoma
Prostate cancer
Prostate cancer (Biochemical recurrence)
Prostate cancer (PCa)
Prostate cancer (PCa).
Prostate cancer.
Prostate Neoplasm
Pulmonary Nodules (PNs)
rectal cancer (RC)
Recurrent breast cancer
recurrent/metastatic head and neck squamous cell carcinomas
Renal cell carcinoma (RCC)
Renal Clear Cell Carcinoma
Resectable Gastric Cancer (GC)
"resectable pancreatic cancer,"
Septic Shock.
Small-cell lung cancer (SCLC)
Solid malignancies (receiving ICIs)
Solid Tumors (Multicancer cohort)
Splenic nodular lesions (Canine)
Stage I and II nonsmall cell lung cancer (NSCLC)
Stage I non-small cell lung cancer (NSCLC)
stage Ib1-IIa cervical cancer
Stage III Colon Cancer
stage I–III colorectal cancer
Stage IV Melanoma
T2DM-Associated Hepatocellular Carcinoma
thyroid cancer (TC)
Thyroid follicular tumors
Triple Negative Breast Cancer (TNBC)
Triple-negative (TN) and other breast cancer subtypes
Triple-negative Breast Cancer (TNBC)
Unresectable Biliary tract cancer (BTC)
unresectable hepatocellular carcinoma (HCC)
Unresectable Non-Small Cell Lung Cancer (NSCLC)
Upper tract urothelial carcinoma (UTUC)
Urothelial bladder cancer (UBC)
Urothelial Carcinoma (Bladder and UTUC)
uveal melanoma (UM) liver metastases
various advanced solid tumors
"Various cancers (sarcoma, lymphoma, leukemia)"
Various cancers in Chronic Kidney Disease (CKD) patients
